"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","genename"
"ENSG00000205445|KRTAP10-2",4.39610580111544,0.0199470124113978,1.3322823755981,0.0149720605606923,0.988054470327045,0.993529997146041,"KRTAP10-2","keratin associated protein 10-2"
"ENSG00000215454|KRTAP10-4",3.59204635163437,0.481531052240858,1.51533023981667,0.317773010521533,0.750657124822064,0.993529997146041,"KRTAP10-4","keratin associated protein 10-4"
"ENSG00000187766|KRTAP10-8",4.59175783623376,0.211988601407658,1.61823013083539,0.131000280719172,0.89577508533709,0.993529997146041,"KRTAP10-8","keratin associated protein 10-8"
"ENSG00000221859|KRTAP10-10",3.71972418230492,0.295626548979592,1.57312638763964,0.18792294840541,0.850937052994809,0.993529997146041,"KRTAP10-10","keratin associated protein 10-10"
"ENSG00000243489|KRTAP10-11",10.2274945062867,1.1191985792801,0.944196752446199,1.18534466082468,0.235881202179482,0.993529997146041,"KRTAP10-11","keratin associated protein 10-11"
"ENSG00000212933|KRTAP12-4",5.29580640829058,-0.560432451511137,1.23457896298327,-0.453946218358438,0.649867536680725,0.993529997146041,"KRTAP12-4","keratin associated protein 12-4"
"ENSG00000205439|KRTAP12-3",4.91458305499108,1.6144936704431,1.68733259830626,0.956831908577912,0.338652103953801,0.993529997146041,"KRTAP12-3","keratin associated protein 12-3"
"ENSG00000229880|IMMTP1",799.181843805142,0.016206344746517,0.284484161204677,0.0569674764243098,0.954571103104036,0.993529997146041,"IMMTP1","inner membrane mitochondrial protein pseudogene 1"
"ENSG00000184900|SUMO3",150.26308668491,24.0661890118224,4.71059703596226,5.10894666389273,3.23959779479481e-07,8.4229542664665e-06,"SUMO3","small ubiquitin like modifier 3"
"ENSG00000160255|ITGB2",4660.16430638306,1.14476928675518,3.80427203716234,0.300916778708886,0.763477955418147,0.993529997146041,"ITGB2","integrin subunit beta 2"
"ENSG00000235374|SSR4P1",8.58840746793461,0.762791687980243,1.03381685259724,0.737840252907365,0.460611529334315,0.993529997146041,"SSR4P1",NA
"ENSG00000233922|LINC01694",18.1790267619631,0.115133708344069,0.816637085784748,0.140985157725761,0.887881667640153,0.993529997146041,"LINC01694","long intergenic non-protein coding RNA 1694"
"ENSG00000215424|MCM3AP-AS1",17.6582232213247,-7.59728817653934,4.78778372739609,-1.58680688375021,0.112556389292581,0.982030600945242,"MCM3AP-AS1","MCM3AP antisense RNA 1"
"ENSG00000160294|MCM3AP",39.4617448119137,-8.75656996875803,1.86947106897827,-4.68398260559539,2.81353895170665e-06,6.09600106203107e-05,"MCM3AP","minichromosome maintenance complex component 3 associated protein"
"ENSG00000160298|C21orf58",30.2308585823243,-0.0736982458305661,0.779367514681012,-0.0945616085380851,0.924663045088272,0.993529997146041,"C21orf58","chromosome 21 open reading frame 58"
"ENSG00000160305|DIP2A",334.853211416049,0.106944720157985,0.253527994433547,0.421826080377948,0.673151967865547,0.993529997146041,"DIP2A","DIP2 acetate--CoA ligase A"
"ENSG00000160299|PCNT",99.3250585623099,0.162280158339458,0.389255011699626,0.416899342235532,0.676752034686685,0.993529997146041,"PCNT","pericentrin"
"ENSG00000230982|DSTNP1",6.49158599578665,0.158196209061601,1.45570367747394,0.108673359495881,0.913461572726516,0.993529997146041,"DSTNP1",NA
